DateTime,Type,Mode,Fix_Type,Sat_Used_01,Sat_Used_02,Sat_Used_03,Sat_Used_04,Sat_Used_05,Sat_Used_06,Sat_Used_07,Sat_Used_08,Sat_Used_09,Sat_Used_10,Sat_Used_11,Sat_Used_12,PDOP,HDOP,VDOP,Checksum
2024-07-24 03:11:41,$GNGSA,A,3,05,09,11,12,20,,,,,,,,0.9,0.6,0.6,1*35
2024-07-24 03:11:43,$GNGSA,A,3,70,71,85,86,,,,,,,,,0.9,0.6,0.6,2*39
2024-07-24 03:11:44,$GNGSA,A,3,26,31,33,,,,,,,,,,0.9,0.6,0.6,3*3C
2024-07-24 03:11:45,$GNGSA,A,3,10,11,12,13,21,22,34,38,40,42,43,,0.9,0.6,0.6,4*37
2024-07-24 03:11:46,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.6,5*3B
2024-07-24 03:11:47,$GNGSA,A,3,05,06,09,11,12,20,,,,,,,0.9,0.6,0.6,1*33
2024-07-24 03:11:48,$GNGSA,A,3,70,71,85,86,,,,,,,,,0.9,0.6,0.6,2*39
2024-07-24 03:11:49,$GNGSA,A,3,26,31,33,,,,,,,,,,0.9,0.6,0.6,3*3C
2024-07-24 03:11:50,$GNGSA,A,3,10,11,12,13,21,22,34,38,40,42,43,,0.9,0.6,0.6,4*37
2024-07-24 03:11:51,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.6,5*3B
2024-07-24 03:11:52,$GNGSA,A,3,05,06,09,11,12,20,,,,,,,0.8,0.6,0.6,1*32
2024-07-24 03:11:53,$GNGSA,A,3,70,71,85,86,,,,,,,,,0.8,0.6,0.6,2*38
2024-07-24 03:11:54,$GNGSA,A,3,26,31,33,,,,,,,,,,0.8,0.6,0.6,3*3D
2024-07-24 03:11:55,$GNGSA,A,3,10,11,12,13,21,22,34,38,40,42,43,,0.8,0.6,0.6,4*36
2024-07-24 03:11:56,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.6,0.6,5*3A
2024-07-24 03:11:57,$GNGSA,A,3,05,06,09,11,12,20,,,,,,,0.8,0.6,0.6,1*32
2024-07-24 03:11:58,$GNGSA,A,3,70,71,85,86,,,,,,,,,0.8,0.6,0.6,2*38
2024-07-24 03:11:59,$GNGSA,A,3,26,31,33,,,,,,,,,,0.8,0.6,0.6,3*3D
2024-07-24 03:12:00,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,42,43,0.8,0.6,0.6,4*31
2024-07-24 03:12:01,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.6,0.6,5*3A
2024-07-24 03:12:02,$GNGSA,A,3,05,06,09,11,12,20,,,,,,,0.8,0.5,0.6,1*31
2024-07-24 03:12:03,$GNGSA,A,3,70,71,85,86,,,,,,,,,0.8,0.5,0.6,2*3B
2024-07-24 03:12:04,$GNGSA,A,3,26,33,,,,,,,,,,,0.8,0.5,0.6,3*3C
2024-07-24 03:12:05,$GNGSA,A,3,03,07,10,11,13,21,22,34,38,40,42,43,0.8,0.5,0.6,4*32
2024-07-24 03:12:06,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.5,0.6,5*39
2024-07-24 03:12:07,$GNGSA,A,3,05,06,09,11,12,20,,,,,,,0.8,0.5,0.6,1*31
2024-07-24 03:12:08,$GNGSA,A,3,70,71,85,86,,,,,,,,,0.8,0.5,0.6,2*3B
2024-07-24 03:12:09,$GNGSA,A,3,26,33,,,,,,,,,,,0.8,0.5,0.6,3*3C
2024-07-24 03:12:10,$GNGSA,A,3,03,07,10,11,13,21,22,34,38,40,42,43,0.8,0.5,0.6,4*32
2024-07-24 03:12:11,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.5,0.6,5*39
2024-07-24 03:12:12,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.8,0.5,0.6,1*39
2024-07-24 03:12:13,$GNGSA,A,3,70,71,85,86,,,,,,,,,0.8,0.5,0.6,2*3B
2024-07-24 03:12:14,$GNGSA,A,3,19,26,33,,,,,,,,,,0.8,0.5,0.6,3*34
2024-07-24 03:12:15,$GNGSA,A,3,03,07,10,11,12,13,21,22,34,38,40,42,0.8,0.5,0.6,4*36
2024-07-24 03:12:16,$GNGSA,A,3,04,,,,,,,,,,,,0.8,0.5,0.6,5*3A
2024-07-24 03:12:17,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.8,0.5,0.6,1*39
2024-07-24 03:12:18,$GNGSA,A,3,70,71,85,86,,,,,,,,,0.8,0.5,0.6,2*3B
2024-07-24 03:12:19,$GNGSA,A,3,19,26,33,,,,,,,,,,0.8,0.5,0.6,3*34
2024-07-24 03:12:20,$GNGSA,A,3,03,07,10,11,12,13,21,22,34,38,40,42,0.8,0.5,0.6,4*36
2024-07-24 03:12:21,$GNGSA,A,3,04,,,,,,,,,,,,0.8,0.5,0.6,5*3A
2024-07-24 03:12:22,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.8,0.5,0.7,1*38
2024-07-24 03:12:23,$GNGSA,A,3,71,85,86,,,,,,,,,,0.8,0.5,0.7,2*3D
2024-07-24 03:12:24,$GNGSA,A,3,19,33,,,,,,,,,,,0.8,0.5,0.7,3*31
2024-07-24 03:12:25,$GNGSA,A,3,03,07,10,11,12,13,21,22,34,38,40,42,0.8,0.5,0.7,4*37
2024-07-24 03:12:26,$GNGSA,A,3,04,,,,,,,,,,,,0.8,0.5,0.7,5*3B
2024-07-24 03:12:27,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.5,0.7,1*39
2024-07-24 03:12:28,$GNGSA,A,3,71,85,86,,,,,,,,,,0.9,0.5,0.7,2*3C
2024-07-24 03:12:29,$GNGSA,A,3,19,33,,,,,,,,,,,0.9,0.5,0.7,3*30
2024-07-24 03:12:30,$GNGSA,A,3,03,07,10,11,12,13,21,22,34,38,40,42,0.9,0.5,0.7,4*36
2024-07-24 03:12:31,$GNGSA,A,3,04,,,,,,,,,,,,0.9,0.5,0.7,5*3A
2024-07-24 03:12:32,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:12:33,$GNGSA,A,3,71,85,86,,,,,,,,,,0.9,0.6,0.7,2*3F
2024-07-24 03:12:34,$GNGSA,A,3,19,33,,,,,,,,,,,0.9,0.6,0.7,3*33
2024-07-24 03:12:35,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,42,44,0.9,0.6,0.7,4*36
