DateTime,MessageNumber,TotalMessages,TotalSatellites,SatellitePRN,Elevation,Azimuth,SNR,CN0
2024-07-24 03:11:41,1,1,04,05,37,263,33,96.10905629376141
2024-07-24 03:11:41,1,1,04,11,70,357,39,102.10905629376141
2024-07-24 03:11:41,1,1,04,12,14,254,35,98.10905629376141
2024-07-24 03:11:41,1,1,04,20,61,294,33,96.10905629376141
2024-07-24 03:11:43,1,1,02,09,32,049,24,87.10905629376141
2024-07-24 03:11:43,1,1,02,11,70,357,23,86.10905629376141
2024-07-24 03:11:44,2,1,07,05,37,263,32,95.10905629376141
2024-07-24 03:11:44,2,1,07,06,49,090,29,92.10905629376141
2024-07-24 03:11:44,2,1,07,09,32,049,25,88.10905629376141
2024-07-24 03:11:44,2,1,07,11,70,357,37,100.10905629376141
2024-07-24 03:11:45,2,2,07,12,14,254,35,98.10905629376141
2024-07-24 03:11:45,2,2,07,13,15,189,26,89.10905629376141
2024-07-24 03:11:45,2,2,07,20,61,294,33,96.10905629376141
2024-07-24 03:11:46,1,1,03,06,49,090,24,87.10905629376141
2024-07-24 03:11:46,1,1,03,09,32,049,23,86.10905629376141
2024-07-24 03:11:46,1,1,03,11,70,357,25,88.10905629376141
2024-07-24 03:11:47,2,1,07,05,37,263,33,96.10905629376141
2024-07-24 03:11:47,2,1,07,06,49,090,24,87.10905629376141
2024-07-24 03:11:47,2,1,07,09,32,049,25,88.10905629376141
2024-07-24 03:11:47,2,1,07,11,70,357,39,102.10905629376141
2024-07-24 03:11:48,2,2,07,12,14,254,33,96.10905629376141
2024-07-24 03:11:48,2,2,07,13,15,189,26,89.10905629376141
2024-07-24 03:11:48,2,2,07,20,61,294,31,94.10905629376141
2024-07-24 03:11:49,1,1,03,06,49,090,24,87.10905629376141
2024-07-24 03:11:49,1,1,03,09,32,049,23,86.10905629376141
2024-07-24 03:11:49,1,1,03,11,70,357,24,87.10905629376141
2024-07-24 03:11:50,2,1,07,05,37,263,31,94.10905629376141
2024-07-24 03:11:50,2,1,07,06,49,090,24,87.10905629376141
2024-07-24 03:11:50,2,1,07,09,32,049,21,84.10905629376141
2024-07-24 03:11:50,2,1,07,11,70,357,37,100.10905629376141
2024-07-24 03:11:51,2,2,07,12,14,254,34,97.10905629376141
2024-07-24 03:11:51,2,2,07,13,15,189,26,89.10905629376141
2024-07-24 03:11:51,2,2,07,20,61,294,29,92.10905629376141
2024-07-24 03:11:52,1,1,03,06,49,090,24,87.10905629376141
2024-07-24 03:11:52,1,1,03,09,32,049,23,86.10905629376141
2024-07-24 03:11:52,1,1,03,11,70,357,26,89.10905629376141
2024-07-24 03:11:53,2,1,07,05,37,263,26,89.10905629376141
2024-07-24 03:11:53,2,1,07,06,49,090,22,85.10905629376141
2024-07-24 03:11:53,2,1,07,09,32,049,25,88.10905629376141
2024-07-24 03:11:53,2,1,07,11,70,357,37,100.10905629376141
2024-07-24 03:11:54,2,2,07,12,14,254,34,97.10905629376141
2024-07-24 03:11:54,2,2,07,13,15,189,26,89.10905629376141
2024-07-24 03:11:54,2,2,07,20,61,294,29,92.10905629376141
2024-07-24 03:11:55,1,1,03,06,49,090,24,87.10905629376141
2024-07-24 03:11:55,1,1,03,09,32,049,23,86.10905629376141
2024-07-24 03:11:55,1,1,03,11,70,357,25,88.10905629376141
2024-07-24 03:11:56,3,1,09,05,37,263,25,88.10905629376141
2024-07-24 03:11:56,3,1,09,06,49,090,23,86.10905629376141
2024-07-24 03:11:56,3,1,09,07,10,095,19,82.10905629376141
